,Year,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adriatic Sea,,384.41,353.1876471,382.0788235,378.1345161,400.4523529,403.8821212,407.7730303,403.8215152,416.9523529,419.0785714,417.576338,398.4167123,409.3868056,384.7270769,397.8722222,390.0111111,397.9288889,421.3165278,459.9660811,423.2656164,415.6027536,438.3537736,457.2781081,438.4105405,436.803,401.6118,464.0345946,445.4685714,445.5956757,440.1632432,436.8758904,464.0785714,474.3014286
Andaman Sea,,,384.7188235,351.4658824,397.613125,409.9478788,320.3933333,381.3751515,409.9721212,426.7129412,423.5257143,386.125,404.6483333,401.1032394,405.6149231,379.4894444,394.8483784,462.5896226,432.8906849,464.3552703,438.2167123,462.7976812,472.5247273,442.9361111,443.1783784,514.6204286,445.142549,456.0883784,406.2586486,482.9605556,524.6564865,516.9456757,428.7314286,417.1557143
Arabian Sea,,399.63,394.6564706,395.43,400.2675,389.8769697,407.9315152,399.98,367.7436364,376.6917647,374.2633333,388.1628571,403.9120548,398.2138889,412.036,407.0222222,415.8756757,415.2532075,433.1620548,431.0531081,433.570274,443.1642029,456.29875,444.3538889,472.8791892,472.6341429,462.6078431,443.4308108,478.0983784,491.2448649,489.33,471.2475676,485.4414286,476.5128571
Atlantic Ocean,,384.23,378.3888235,381.88,388.6477419,389.7182353,392.4739394,397.349697,393.6224242,395.0388235,399.9485714,401.4729577,411.8550685,410.7491667,414.6643077,415.7172222,415.1308108,419.1218519,422.2909459,423.6044595,423.27,430.9786957,432.0798214,434.1366667,442.2591892,445.794,450.5723529,456.6948649,465.2678378,463.6659459,469.6760811,469.6004054,476.6492857,472.0357143
Baltic Sea,,613.09,359.7252941,384.2076471,422.299375,288.1778788,394.7657576,430.7445455,389.2051515,427.9811765,389.8427778,390.2014286,390.5080822,437.9819444,440.4303077,395.8,518.2094595,468.9292453,392.0356164,350.6560811,467.6109589,497.0971014,363.9026786,383.5333333,539.8783784,452.8417143,516.234902,431.512973,477.2291892,572.9948649,468.4090541,523.2223288,519.085,588.18
Bay Bengal,,397.32,387.1611765,376.2464706,398.348125,400.8093939,370.3306061,386.6124242,391.6306061,409.0258824,399.3727778,389.8314286,398.2116438,401.5191667,415.1167692,397.0788889,393.1467568,435.1062264,423.8968056,449.3790541,445.9405479,442.7289855,459.4933929,441.4488889,463.16,496.2452857,458.9194118,444.9148649,442.5608108,483.5967568,524.6055405,502.2350685,454.1121429,414.1514286
Bering Sea,,371.45,388.5323529,386.7058824,412.6854839,432.2411765,449.1984848,409.4742424,370.9984848,366.1911765,357.4888889,377.2478571,401.8353425,392.72125,394.4843077,400.1483333,393.5156757,406.0255556,409.2986301,402.6262162,408.6589041,405.2730435,405.6557143,442.5827778,460.5313514,462.1962857,445.7066667,454.2491892,445.5356757,448.7110811,433.7333784,452.4482432,457.1835714,437.0042857
Caribbean Sea,,392.81,385.1717647,402.7805882,393.6970968,379.3629412,392.7766667,394.7645455,389.0312121,376.9276471,408.5585714,419.6092958,441.7273973,403.6915278,396.708,400.6005556,414.8605405,423.5614815,395.4283562,422.3146575,412.7039189,432.8592754,423.0469091,451.6175676,469.9824324,469.7565714,435.962549,453.8564865,480.9078378,477.2740541,467.5341892,490.0090411,497.8778571,456.1614286
Gulf Mexico,,389.17,388.6582353,380.9170588,395.560625,364.7563636,382.3260606,391.4018182,411.8775758,405.0552941,396.1283333,418.1314286,418.3010959,412.7022222,421.7064615,399.1188889,418.3232432,439.0332075,441.8050685,404.7087838,414.6009589,458.6166667,428.6394643,448.32,476.8078378,494.6015714,470.9345098,475.8994595,505.4183784,506.7691892,495.9772973,525.1654795,529.7957143,431.3228571
Indian Ocean,,377.22,377.5376471,380.3611765,386.3845161,386.8052941,391.0018182,399.4715152,391.0472727,392.6817647,399.8977778,401.8378571,404.7606849,404.8779167,407.2395385,415.7883333,419.7489189,426.8466667,425.8360811,436.1914865,433.1032877,442.1524638,441.8148214,442.5744444,452.6313514,444.348,448.0729412,448.7,458.9189189,461.9527027,459.9695946,469.5858108,474.4421429,484.4457143
Indonesian,,381.56,322.3717647,328.9541176,371.0725,419.9221212,325.4615152,397.4736364,458.7554545,470.9247059,445.0627778,374.5204286,380.7817808,382.2072222,391.5467692,415.2744444,420.2354054,473.7931481,462.319589,489.0422973,489.5050685,475.3724638,513.4553571,435.3316667,381.6521622,444.4401429,483.9682353,462.087027,411.86,477.0118919,537.4875676,562.849589,478.78,479.2257143
Mediterranean,,411.35,366.2794118,383.3294118,386.3625,409.2272727,407.0060606,399.1454545,399.4090909,398.3088235,400.1305556,411.2642857,400.8008219,407.3369444,393.9255385,406.1188889,396.0881081,424.1018868,415.6894521,453.815,410.9976712,425.1204348,423.9066071,434.0444444,415.2608108,442.4505714,416.2962745,460.8651351,447.1083784,461.3021622,456.2366216,456.050411,479.2721429,470.3085714
Nino,,388.7,381.5911765,385.5970588,386.6145161,392.7352941,421.5136364,369.5257576,376.6106061,393.0294118,396.8722222,410.7192857,407.9964384,419.5429167,411.0375385,418.2311111,400.8010811,415.1511111,428.822973,418.3932432,423.6490411,435.7362319,431.1739286,450.48,474.1394595,441.646,442.8168627,467.1659459,461.8145946,464.1213514,469.5666216,475.2625676,485.0321429,461.9528571
