Year,AdriaticSea,AndamanSea,ArabianSea,AtlanticOcean,BalticSea,BayBengal,BeringSea,CaribbeanSea,GulfMexico,IndianOcean,Indonesian,Mediterranean,Nino,NorthAtlantic,NorthPacific,NorthSea,PacificOcean,PersianGulf,SeaJapan,SeaOkhotsk,SouthChina,SouthernOcean,Tropics,World,YellowSea,Mean
1992,384.41,399.63,399.63,384.23,613.09,397.32,371.45,392.81,389.17,377.22,381.56,411.35,388.7,395.65,397,444.33,374.34,500.27,361.88,382.9,382.26,377.05,374.68,379.52,328.69,400.4008333
1993,353.1876471,384.7188235,394.6564706,378.3888235,359.7252941,387.1611765,388.5323529,385.1717647,388.6582353,377.5376471,322.3717647,366.2794118,381.5911765,379.5088235,382.2264706,383.4770588,378.0547059,376.9376471,365.6858824,373.5323529,355.7717647,374.9970588,377.2505882,376.9847059,363.4488235,374.1196569
1994,382.0788235,351.4658824,395.43,381.88,384.2076471,376.2464706,386.7058824,402.7805882,380.9170588,380.3611765,328.9541176,383.3294118,385.5970588,384.25,394.4205882,377.6358824,383.6635294,397.6464706,391.9094118,378.4,360.8541176,379.1588235,380.8505882,381.6817647,389.69,380.7680637
1995,378.1345161,397.613125,400.2675,388.6477419,422.299375,398.348125,412.6854839,393.6970968,395.560625,386.3845161,371.0725,386.3625,386.6145161,395.3080645,385.5258065,399.439375,386.5141935,395.23875,379.645625,402.515625,372.8019355,384.4645161,387.3719355,387.103871,366.5335484,390.5436248
1996,400.4523529,409.9478788,389.8769697,389.7182353,288.1778788,400.8093939,432.2411765,379.3629412,364.7563636,386.8052941,419.9221212,409.2272727,392.7352941,389.4882353,386.3735294,361.6436364,391.4635294,404.1412121,373.149697,407.9712121,384.4658824,387.1147059,392.3594118,390.6523529,379.3723529,388.3990241
1997,403.8821212,320.3933333,407.9315152,392.4739394,394.7657576,370.3306061,449.1984848,392.7766667,382.3260606,391.0018182,325.4615152,407.0060606,421.5136364,392.6590909,392.8909091,405.2012121,399.0157576,403.8109091,390.049697,418.3772727,376.9145455,395.7393939,393.3118182,394.6593939,391.1551515,392.4244697
1998,407.7730303,381.3751515,399.98,397.349697,430.7445455,386.6124242,409.4742424,394.7645455,391.4018182,399.4715152,397.4736364,399.1454545,369.5257576,402.9227273,388.2969697,403.8406061,389.4248485,409.7078788,401.5284848,395.8984848,381.8933333,395.2363636,392.63,393.7624242,409.7763636,397.3436616
1999,403.8215152,409.9721212,367.7436364,393.6224242,389.2051515,391.6306061,370.9984848,389.0312121,411.8775758,391.0472727,458.7554545,399.4090909,376.6106061,408.3378788,401.3151515,394.4345455,390.3733333,400.9018182,419.1072727,392.6409091,419.0630303,396.0636364,389.0724242,392.7957576,411.4551515,399.0204293
2000,416.9523529,426.7129412,376.6917647,395.0388235,427.9811765,409.0258824,366.1911765,376.9276471,405.0552941,392.6817647,470.9247059,398.3088235,393.0294118,411.9088235,401.0647059,388.2329412,397.5252941,382.2023529,407.5594118,400.2823529,419.8423529,399.5882353,394.3270588,397.0670588,409.0076471,402.7942892
2001,419.0785714,423.5257143,374.2633333,399.9485714,389.8427778,399.3727778,357.4888889,408.5585714,396.1283333,399.8977778,445.0627778,400.1305556,396.8722222,397.9414286,403.45,401.5971429,403.8011111,378.0670588,400.9327778,393.9333333,428.4683333,405.2944444,401.5355556,402.4033333,422.5371429,401.9887167
2002,417.576338,386.125,388.1628571,401.4729577,390.2014286,389.8314286,377.2478571,419.6092958,418.1314286,401.8378571,374.5204286,411.2642857,410.7192857,402.6387324,412.2021429,407.4053521,407.9014286,386.7685915,413.4171429,397.2442857,403.8878571,403.5807143,403.4507143,404.3085714,413.4977465,401.6122982
2003,398.4167123,404.6483333,403.9120548,411.8550685,390.5080822,398.2116438,401.8353425,441.7273973,418.3010959,404.7606849,380.7817808,400.8008219,407.9964384,407.3242466,404.6483562,436.4736986,406.5838356,384.5138028,417.1547945,397.8861644,416.0409589,405.4812329,408.9073973,407.6758904,415.2728767,406.8351175
2004,409.3868056,401.1032394,398.2138889,410.7491667,437.9819444,401.5191667,392.72125,403.6915278,412.7022222,404.8779167,382.2072222,407.3369444,419.5429167,406.8322222,408.6948611,414.0819444,411.1802778,402.1015278,430.9627778,405.2922222,398.3518056,410.3948611,408.6876389,409.3155556,417.8913889,408.1877391
2005,384.7270769,405.6149231,412.036,414.6643077,440.4303077,415.1167692,394.4843077,396.708,421.7064615,407.2395385,391.5467692,393.9255385,411.0375385,405.3272308,400.5543077,407.8083077,413.9292308,384.4487692,390.0686154,402.4967692,375.7001538,414.2081538,412.6938462,411.5735385,390.5092308,403.6242564
2006,397.8722222,379.4894444,407.0222222,415.7172222,395.8,397.0788889,400.1483333,400.6005556,399.1188889,415.7883333,415.2744444,406.1188889,418.2311111,411.1377778,406.5594444,414.6944444,415.6761111,388.5133333,400.0544444,395.6366667,413.14,415.4733333,416.4105556,414.9711111,424.0344444,406.232963
2007,390.0111111,394.8483784,415.8756757,415.1308108,518.2094595,393.1467568,393.5156757,414.8605405,418.3232432,419.7489189,420.2354054,396.0881081,400.8010811,408.3478378,405.8791892,436.9135135,414.1886486,424.6678378,421.2086486,399.7105405,406.8251351,416.4440541,416.3583784,415.1518919,410.9066667,414.6769007
2008,397.9288889,462.5896226,415.2532075,419.1218519,468.9292453,435.1062264,406.0255556,423.5614815,439.0332075,426.8466667,473.7931481,424.1018868,415.1511111,428.0788889,423.3785185,415.8132075,416.3788889,430.7628302,419.4875472,409.0577358,455.5813208,416.2077778,422.3948148,420.4667308,430.9907407,428.1489321
2009,421.3165278,432.8906849,433.1620548,422.2909459,392.0356164,423.8968056,409.2986301,395.4283562,441.8050685,425.8360811,462.319589,415.6894521,428.822973,419.8816438,427.770411,404.4815068,420.4290411,422.1544444,420.9793056,404.5290411,452.2106849,420.072973,425.8604054,422.8853425,416.8668493,422.5012122
2010,459.9660811,464.3552703,431.0531081,423.6044595,350.6560811,449.3790541,402.6262162,422.3146575,404.7087838,436.1914865,489.0422973,453.815,418.3932432,399.2063514,420.7382432,397.4184932,416.24,460.5091892,432.1598649,414.827027,462.3063514,425.3959459,426.9901351,424.2512162,416.0664865,428.2484928
2011,423.2656164,438.2167123,433.570274,423.27,467.6109589,445.9405479,408.6589041,412.7039189,414.6009589,433.1032877,489.5050685,410.9976712,423.6490411,402.7734247,423.4073973,432.8885135,415.4632877,442.359589,413.3708219,403.7409589,453.8490411,425.2234247,424.2642466,422.5168493,403.4873973,427.7467109
2012,415.6027536,462.7976812,443.1642029,430.9786957,497.0971014,442.7289855,405.2730435,432.8592754,458.6166667,442.1524638,475.3724638,425.1204348,435.7362319,432.7930435,439.22,409.0195652,428.9066667,440.8308955,447.2004348,418.424058,468.28,432.7007246,434.8271014,433.4157971,455.0541176,440.6148586
2013,438.3537736,472.5247273,456.29875,432.0798214,363.9026786,459.4933929,405.6557143,423.0469091,428.6394643,441.8148214,513.4553571,423.9066071,431.1739286,411.52125,424.90375,395.4281818,428.8042857,444.0518868,411.7955357,410.9250909,466.3758929,442.5853571,434.9719643,434.2301923,411.7469091,432.2273354
2014,457.2781081,442.9361111,444.3538889,434.1366667,383.5333333,441.4488889,442.5827778,451.6175676,448.32,442.5744444,435.3316667,434.0444444,450.48,425.9388889,446.3194444,414.8277778,437.5927778,452.8044444,447.7161111,439.8713889,442.5477778,439.3794444,439.3688889,438.2655556,442.1037838,439.0461928
2015,438.4105405,443.1783784,472.8791892,442.2591892,539.8783784,463.16,460.5313514,469.9824324,476.8078378,452.6313514,381.6521622,415.2608108,474.1394595,438.1972973,456.1810811,454.6959459,447.5778378,491.01,430.6110811,454.4748649,429.0848649,448.8289189,448.1002703,447.0045946,434.6524324,452.6744032
2016,436.803,514.6204286,472.6341429,445.794,452.8417143,496.2452857,462.1962857,469.7565714,494.6015714,444.348,444.4401429,442.4505714,441.646,447.8738571,459.4682857,457.8562857,451.71,460.7184058,482.0905714,455.6971429,441.1695714,448.4287143,452.1631429,450.4625714,469.52,460.2114038
