Year,AdriaticSea,AndamanSea,ArabianSea,AtlanticOcean,BalticSea,BayBengal,BeringSea,CaribbeanSea,GulfMexico,IndianOcean,Indonesian,Mediterranean,Nino,NorthAtlantic,NorthPacific,NorthSea,PacificOcean,PersianGulf,SeaJapan,SeaOkhotsk,SouthChina,SouthernOcean,Tropics,World,YellowSea,Mean
1992,104.41,119.63,119.63,104.23,333.09,117.32,91.45,112.81,109.17,97.22,101.56,131.35,108.7,115.65,117,164.33,94.34,220.27,81.88,102.9,102.26,97.05,94.68,99.52,48.69,120.4008333
1993,73.18764706,104.7188235,114.6564706,98.38882353,79.72529412,107.1611765,108.5323529,105.1717647,108.6582353,97.53764706,42.37176471,86.27941176,101.5911765,99.50882353,102.2264706,103.4770588,98.05470588,96.93764706,85.68588235,93.53235294,75.77176471,94.99705882,97.25058824,96.98470588,83.44882353,94.11965686
1994,102.0788235,71.46588235,115.43,101.88,104.2076471,96.24647059,106.7058824,122.7805882,100.9170588,100.3611765,48.95411765,103.3294118,105.5970588,104.25,114.4205882,97.63588235,103.6635294,117.6464706,111.9094118,98.4,80.85411765,99.15882353,100.8505882,101.6817647,109.69,100.7680637
1995,98.13451613,117.613125,120.2675,108.6477419,142.299375,118.348125,132.6854839,113.6970968,115.560625,106.3845161,91.0725,106.3625,106.6145161,115.3080645,105.5258065,119.439375,106.5141935,115.23875,99.645625,122.515625,92.80193548,104.4645161,107.3719355,107.103871,86.53354839,110.5436248
1996,120.4523529,129.9478788,109.8769697,109.7182353,8.177878788,120.8093939,152.2411765,99.36294118,84.75636364,106.8052941,139.9221212,129.2272727,112.7352941,109.4882353,106.3735294,81.64363636,111.4635294,124.1412121,93.14969697,127.9712121,104.4658824,107.1147059,112.3594118,110.6523529,99.37235294,108.3990241
1997,123.8821212,40.39333333,127.9315152,112.4739394,114.7657576,90.33060606,169.1984848,112.7766667,102.3260606,111.0018182,45.46151515,127.0060606,141.5136364,112.6590909,112.8909091,125.2012121,119.0157576,123.8109091,110.049697,138.3772727,96.91454545,115.7393939,113.3118182,114.6593939,111.1551515,112.4244697
1998,127.7730303,101.3751515,119.98,117.349697,150.7445455,106.6124242,129.4742424,114.7645455,111.4018182,119.4715152,117.4736364,119.1454545,89.52575758,122.9227273,108.2969697,123.8406061,109.4248485,129.7078788,121.5284848,115.8984848,101.8933333,115.2363636,112.63,113.7624242,129.7763636,117.3436616
1999,123.8215152,129.9721212,87.74363636,113.6224242,109.2051515,111.6306061,90.99848485,109.0312121,131.8775758,111.0472727,178.7554545,119.4090909,96.61060606,128.3378788,121.3151515,114.4345455,110.3733333,120.9018182,139.1072727,112.6409091,139.0630303,116.0636364,109.0724242,112.7957576,131.4551515,119.0204293
2000,136.9523529,146.7129412,96.69176471,115.0388235,147.9811765,129.0258824,86.19117647,96.92764706,125.0552941,112.6817647,190.9247059,118.3088235,113.0294118,131.9088235,121.0647059,108.2329412,117.5252941,102.2023529,127.5594118,120.2823529,139.8423529,119.5882353,114.3270588,117.0670588,129.0076471,122.7942892
2001,139.0785714,143.5257143,94.26333333,119.9485714,109.8427778,119.3727778,77.48888889,128.5585714,116.1283333,119.8977778,165.0627778,120.1305556,116.8722222,117.9414286,123.45,121.5971429,123.8011111,98.06705882,120.9327778,113.9333333,148.4683333,125.2944444,121.5355556,122.4033333,142.5371429,121.9887167
