ObjectId,Sea,Goofy Date,Date,???,Day,Month,Year,Value (in mm),Lat,Long
2,Adriatic Sea,D12/17/1992, 12/17/1992,D,12,17,1992,32.73,42.0,17.0
50,Adriatic Sea,D12/28/1992, 12/28/1992,D,12,28,1992,-41.37,42.0,17.0
75,Adriatic Sea,D01/07/1993, 01/07/1993,D,1,7,1993,-71.27,42.0,17.0
95,Adriatic Sea,D01/16/1993, 01/16/1993,D,1,16,1993,-58.67,42.0,17.0
104,Adriatic Sea,D01/24/1993, 01/24/1993,D,1,24,1993,-76.67,42.0,17.0
149,Adriatic Sea,D02/06/1993, 02/06/1993,D,2,6,1993,-87.97,42.0,17.0
175,Adriatic Sea,D02/15/1993, 02/15/1993,D,2,15,1993,-161.97,42.0,17.0
198,Adriatic Sea,D02/25/1993, 02/25/1993,D,2,25,1993,-128.37,42.0,17.0
225,Adriatic Sea,D03/08/1993, 03/08/1993,D,3,8,1993,-44.57,42.0,17.0
250,Adriatic Sea,D03/18/1993, 03/18/1993,D,3,18,1993,-140.47,42.0,17.0
275,Adriatic Sea,D03/27/1993, 03/27/1993,D,3,27,1993,-164.97,42.0,17.0
300,Adriatic Sea,D04/16/1993, 04/16/1993,D,4,16,1993,-100.27,42.0,17.0
325,Adriatic Sea,D04/27/1993, 04/27/1993,D,4,27,1993,-118.97,42.0,17.0
350,Adriatic Sea,D05/06/1993, 05/06/1993,D,5,6,1993,-87.87,42.0,17.0
375,Adriatic Sea,D05/16/1993, 05/16/1993,D,5,16,1993,-70.97,42.0,17.0
400,Adriatic Sea,D05/26/1993, 05/26/1993,D,5,26,1993,-67.47,42.0,17.0
424,Adriatic Sea,D06/04/1993, 06/04/1993,D,6,4,1993,-47.97,42.0,17.0
450,Adriatic Sea,D06/14/1993, 06/14/1993,D,6,14,1993,-71.57,42.0,17.0
475,Adriatic Sea,D06/24/1993, 06/24/1993,D,6,24,1993,-74.47,42.0,17.0
480,Adriatic Sea,D07/03/1993, 07/03/1993,D,7,3,1993,-98.57,42.0,17.0
525,Adriatic Sea,D07/14/1993, 07/14/1993,D,7,14,1993,-93.27,42.0,17.0
550,Adriatic Sea,D08/03/1993, 08/03/1993,D,8,3,1993,-55.17,42.0,17.0
575,Adriatic Sea,D08/13/1993, 08/13/1993,D,8,13,1993,-46.07,42.0,17.0
594,Adriatic Sea,D08/22/1993, 08/22/1993,D,8,22,1993,-33.87,42.0,17.0
625,Adriatic Sea,D09/02/1993, 09/02/1993,D,9,2,1993,-26.37,42.0,17.0
648,Adriatic Sea,D09/11/1993, 09/11/1993,D,9,11,1993,-17.17,42.0,17.0
675,Adriatic Sea,D09/22/1993, 09/22/1993,D,9,22,1993,18.33,42.0,17.0
700,Adriatic Sea,D10/01/1993, 10/01/1993,D,10,1,1993,33.23,42.0,17.0
725,Adriatic Sea,D10/11/1993, 10/11/1993,D,10,11,1993,127.03,42.0,17.0
750,Adriatic Sea,D10/21/1993, 10/21/1993,D,10,21,1993,87.03,42.0,17.0
775,Adriatic Sea,D11/11/1993, 11/11/1993,D,11,11,1993,82.13,42.0,17.0
800,Adriatic Sea,D11/20/1993, 11/20/1993,D,11,20,1993,-64.67,42.0,17.0
825,Adriatic Sea,D11/30/1993, 11/30/1993,D,11,30,1993,44.63,42.0,17.0
844,Adriatic Sea,D12/09/1993, 12/09/1993,D,12,9,1993,77.93,42.0,17.0
875,Adriatic Sea,D12/20/1993, 12/20/1993,D,12,20,1993,45.23,42.0,17.0
898,Adriatic Sea,D12/29/1993, 12/29/1993,D,12,29,1993,20.13,42.0,17.0
925,Adriatic Sea,D01/08/1994, 01/08/1994,D,1,8,1994,51.13,42.0,17.0
950,Adriatic Sea,D01/18/1994, 01/18/1994,D,1,18,1994,9.53,42.0,17.0
975,Adriatic Sea,D01/28/1994, 01/28/1994,D,1,28,1994,-143.77,42.0,17.0
1000,Adriatic Sea,D02/07/1994, 02/07/1994,D,2,7,1994,-67.67,42.0,17.0
1025,Adriatic Sea,D02/17/1994, 02/17/1994,D,2,17,1994,38.03,42.0,17.0
1050,Adriatic Sea,D02/27/1994, 02/27/1994,D,2,27,1994,-3.17,42.0,17.0
1075,Adriatic Sea,D03/09/1994, 03/09/1994,D,3,9,1994,-118.97,42.0,17.0
1100,Adriatic Sea,D03/29/1994, 03/29/1994,D,3,29,1994,-116.77,42.0,17.0
1125,Adriatic Sea,D04/08/1994, 04/08/1994,D,4,8,1994,-88.87,42.0,17.0
1150,Adriatic Sea,D04/18/1994, 04/18/1994,D,4,18,1994,-28.87,42.0,17.0
1174,Adriatic Sea,D04/27/1994, 04/27/1994,D,4,27,1994,-37.17,42.0,17.0
1200,Adriatic Sea,D05/08/1994, 05/08/1994,D,5,8,1994,-65.87,42.0,17.0
1225,Adriatic Sea,D05/17/1994, 05/17/1994,D,5,17,1994,-27.67,42.0,17.0
1250,Adriatic Sea,D05/27/1994, 05/27/1994,D,5,27,1994,5.93,42.0,17.0
1275,Adriatic Sea,D06/06/1994, 06/06/1994,D,6,6,1994,-51.77,42.0,17.0
1300,Adriatic Sea,D06/16/1994, 06/16/1994,D,6,16,1994,-77.87,42.0,17.0
1325,Adriatic Sea,D07/06/1994, 07/06/1994,D,7,6,1994,-32.67,42.0,17.0
1346,Adriatic Sea,D07/15/1994, 07/15/1994,D,7,15,1994,-79.87,42.0,17.0
